station_code,station_name,lat,lon
AKN,AKBARNAGAR,25.2349,86.8345
AKNR,ADHYATMIK NAGAR,28.6799,77.4997
AKOR,AKALKOT ROAD,17.4502,76.1377
AKOT,Akot,21.0957,77.0472
AKP,ANAKAPALLE,17.6955,83.0089
AKR,AKOLNER,18.9854,74.6691
AKRD,AKURDI,18.6481,73.7642
AKS,ANKUSPUR,25.5713,83.4940
AKT,AKALTARA,22.0291,82.4220
AKU,ANGALAKUDURU,16.2453,80.6091
AKV,ANKLESHWAR JN,21.6239,73.0006
AKVD,AKIVIDU,16.5827,81.3691
AKW,Akora,25.6137,80.1400
AKZ,Akashi,23.3851,84.8878
AL,ATTILI,16.6801,81.6164
ALB,ALIA BADA,22.4468,70.2104
ALD,ALLAHABAD JN,25.4462,81.8288
ALE,AMLETHA,21.8381,73.4059
ALER,ALER,17.6460,79.0483
ALGP,Algapur,24.7548,92.5959
ALJ,ALAI,29.1438,78.9327
ALJN,ALIGARH JN,27.8896,78.0746
ALK,ALAKKUDI,10.7777,79.0537
ALL,ALAL,30.3777,75.7207
ALLP,ALLEPPEY,9.4838,76.3225
ALM,ALAMANDA,18.0125,83.2716
ALMR,ALAMPUR,21.9440,71.6992
ALMW,ALMAW,25.2599,82.4899
ALNI,ALNIYA,25.0317,75.9087
ALNP,Akelahanspur Halt,28.3405,80.3156
ALP,ALAPAKAM,11.6178,79.7272
ALPR,ALAMPUR ROAD,15.8957,78.0470
ALS,Amlori Sarsar,26.2947,84.3456
ALU,ARIYALUR,11.1500,79.0683
ALV,Anklav,22.3929,72.9993
ALW,ALWAL,17.5058,78.5150
ALY,ALLAHABAD CITY,25.4424,81.8297
AMA,ATAMANDA,28.5861,79.4681
AMB,AMBODALA,19.8363,83.4564
AMBR,Ambika Rohina,18.4423,76.9437
AMC,Amritapura,14.1395,76.2456
AMD,AMILA HALT,26.1867,83.5158
AMDI,Amdi Halt,21.3524,79.3188
AME,AMETHI,26.1530,81.8063
AMG,ALAMNAGAR,26.8471,80.8603
AMGA,AMJONGA,25.9816,90.8530
AMH,AZAMGARH,26.0386,83.1606
AMI,Amravati,20.9301,77.7578
AMIN,AMIN,29.9050,76.9000
AML,AMALSAD,20.8114,72.9561
AMLA,AMLA JN,21.9197,78.1232
AMLI,AMLI,25.8282,76.2862
AMLO,AMLO,23.7689,85.9802
AMLP,Amalpur,22.1611,73.5083
AMM,Atirampattinam,10.3323,79.3858
AMNR,Ammanur,10.5915,79.5347
AMO,Amolwa,27.2112,84.4785
AMP,AHMADPUR JN,23.8325,87.6928
AMPA,AMBALAPUZHA,9.3861,76.3638
AMPL,AMMAPALLI HALT,25.2724,87.4586
AMPR,AMARPURA RATHAN,29.4834,74.0790
AMQ,AMMUGUDA,17.4870,78.5272
AMRO,AMROHA,28.8927,78.4743
AMS,AMAUSI,26.7744,80.8415
AMSA,AMMASANDRA,13.2646,76.7115
AMT,AMMAPET,10.7795,79.3157
AMV,LUCKNOW ALAMBAGH,26.7945,80.8731
AMVA,AMARAVILA HALT,8.3971,77.1004
AMW,AMAN VADI,20.3005,77.0653
AMX,Amlakhurd,21.5102,76.6507
AMY,AKATHUMURI,8.7003,76.7588
AN,AMALNER,21.0490,75.0573
ANA,ASLANA,23.8605,79.3195
ANAH,AUNTA HALT,25.3804,85.9494
ANAS,ANAS,22.8660,74.4215
ANB,AMMANABROLU,15.5964,80.1484
ANC,Annechakanahali,12.7379,76.2828
ANCR,ANCHURI,23.2839,86.9932
AND,ANDAMPALIAM,12.0884,79.1690
ANDI,ADARSH NAGAR DELHI,28.7142,77.1667
ANDN,Anand Nagar,27.1037,83.2707
ANE,ANANTARAJUPET,13.9996,79.3025
ANF,Anandapuram,14.0733,75.2092
ANG,AHMADNAGAR,19.0755,74.7219
ANGL,ANGUL,20.8594,85.1000
ANGM,Aungari Dham,25.1913,85.2262
ANGR,ANGADGERI HALT,16.4519,75.8459
ANH,ANKORAH AKORHA,24.7612,84.1695
ANI,Ajanti,21.8940,76.2860
ANJ,Anjangaon,21.1632,77.3190
ANJE,ANGARPATHRA HALT,23.7931,86.3194
ANK,ANKAI,20.1510,74.4698
ANKL,ANKOLA,14.6453,74.3329
ANM,ANAIMALAI ROAD,10.6249,76.9351
ANMD,ARANG MAHANADI,21.1896,81.9555
ANND,ANAND JN,22.5613,72.9657
ANNR,ANNANUR,13.1160,80.1267
ANO,ANJANI,17.6206,73.3993
ANP,ANANDTANDAVPUR,11.1440,79.6577
ANPR,Anpara,24.2174,82.7662
ANR,ANARA,23.4811,86.5598
ANSB,ANANDPUR SAHIB,31.2305,76.5006
ANT,Anantnag,33.7385,75.1071
ANTU,ANTU,26.0552,81.8978
ANU,ANANGUR,11.3969,77.8201
ANV,ANNAVARAM,17.2696,82.4197
ANVR,ANAND VIHAR,28.6486,77.3140
ANVT,ANAND VIHAR TRM,28.6505,77.3152
ANW,Anawal,20.7680,73.2355
ANY,Arumuganeri,8.5791,78.0918
AO,AONLA,28.2961,79.1692
AON,ARAON,27.1143,78.6922
AONI,Amoni,26.4481,92.9196
AOR,ARGORA,23.3470,85.3144
AP,ASHOKAPURAM,12.2738,76.6353
APA,AMARPURA,26.1110,74.2493
APB,ANUPPAMBATTU,13.3043,80.2308
APD,Alipur Duar,26.4793,89.5207
APDC,Alipur Duar Court,26.4993,89.5268
APDJ,ALIPUR DUAR JN,26.5233,89.5340
APE,ANDANAPPETTAI,10.7588,79.8441
APG,ANUPGANJ,26.7573,81.1261
APH,ANUPGARH,29.1969,73.2046
API,Akkaraippatti,10.3998,77.9226
APJ,Amarpur Jorasi,28.0218,76.0761
APK,Aruppukkottai,9.5246,78.1019
APL,APPIKATLA,15.9704,80.5145
APN,AYODHYAPATTANAM,11.6714,78.2336
APP,Ambapendarpur Halt,25.2670,85.5297
APR,ANUPPUR JN,23.1173,81.6960
APRD,Ashapurna Devi,21.7274,87.6382
APRH,Alehpur Halt,26.2095,84.7890
APT,ANAPARTI,16.9358,81.9532
APTA,APTA,18.8635,73.1526
APU,Anipur,24.5457,92.4345
AQG,ASHAPURA GOMAT,26.9502,71.8927
ARA,ARA,25.5489,84.6626
ARAG,ARAG,16.8236,74.7912
ARCL,ARUNACHAL,24.8556,92.7430
ARD,AMARDA ROAD,21.7343,87.1024
ARE,ARNETHA,25.3898,76.0187
ARG,ANGAR GHAT,25.7954,85.9072
ARGD,ARIGADA,23.6435,85.4665
ARGL,ARGUL,20.1244,85.6709
ARGP,ARALAGUPPE,13.2531,76.6154
ARH,AMHERA,29.2622,78.2858
ARI,ANTRI,26.0352,78.2267
ARJ,AUNRIHAR JN,25.5447,83.1873
ARK,Arakku,18.3340,82.8626
ARKA,Arkha,25.8673,81.3313
ARL,AROUL,26.9207,80.0186
ARN,ARAND,21.1021,82.1830
ARNA,ARNIA,27.0101,76.5172
ARNG,Arunnagar,20.7085,79.9790
ARNH,Arjunahalli,12.5129,76.3917
AROR,AROOR HALT,9.8791,76.3028
ARP,Atrampur,25.5720,81.7457
ARPL,AREPALLI HALT,16.2705,77.8624
ARPR,Alirajpur,20.1791,78.6107
ARQ,ARARIYA COURT,26.1149,87.4469
ARR,ARARIYA,26.1371,87.4120
ARU,Arasalu,13.9993,75.3145
ARV,ARNI ROAD,12.6308,79.2090
ARVI,Arvi,20.9762,75.9342
ARX,Areli,27.9944,79.8863
AS,ARJANSAR,28.9338,73.8720
ASAF,ASIFABAD ROAD,19.2567,79.4167
ASAN,ASAN,29.4013,76.8826
ASAR,ASRA HALT,29.2498,77.2914
ASB,ASANBONI,22.7124,86.3139
ASCE,ATHSARAI,25.6787,81.2620
ASD,AMBASAMUDRAM,8.7079,77.4387
ASE,ASAUDAH,28.7365,76.8588
ASH,AISHBAGH,26.8374,80.9096
ASI,Arseni,27.2431,80.3939
ASJP,AMAR SAHEED JAGDEV P HALT,25.5601,84.4097
ASK,ARSIKERE JN,13.3144,76.2521
ASKN,ASHOK NAGAR,24.5801,77.7267
ASL,ASLAODA,23.2313,75.6082
ASLU,Aslu,28.3690,75.0748
ASM,Asarma,21.4536,73.0732
ASN,ASANSOL JN,23.6914,86.9752
ASO,ASANGAON,19.4393,73.3079
ASR,AMRITSAR JN,31.6315,74.8580
ASSH,AISHBAGH,26.8361,80.9086
AST,ASAOTI,28.2509,77.3236
ASV,ASARVA JN,23.0440,72.6129
AT,ASNOTI,14.8763,74.1477
ATA,ATA,26.0445,79.5991
ATB,Alattambadi,10.5483,79.5099
ATC,ARTS COLLEGE,17.4181,78.5197
ATDA,Atladara,22.2751,73.1553
ATE,ATARRA,25.2914,80.5765
ATG,ATGAON,19.5032,73.3277
ATH,ANTAH,25.1612,76.3073
ATKS,Atwa Kursath,27.1346,80.2672
ATL,ATHMAL GOLA,25.4530,85.6214
ATM,ALTAGRAM,26.6081,88.9467
ATMO,AITHAL,29.8079,78.0436
ATNR,AWATAR NAGAR,25.7644,84.9568
ATP,ANANTAPUR,14.6865,77.5953
ATQ,Arantangi,10.1645,78.9968
ATR,Attar,21.9987,76.2049
ATRR,ATRAURA,25.3161,82.3140
ATRU,ATRU,24.8821,76.6702
ATS,ATTABIRA,21.3880,83.7926
ATT,ATARI,31.5949,74.6072
ATU,ATTUR,11.5948,78.5921
ATUL,ATUL,20.5446,72.9271
ATW,Atwa Muthia Halt,27.2740,80.4155
AUB,ALUABARI ROAD,26.2697,88.1856
AUBR,ANUGRAHA NARAYAN ROAD,24.8560,84.3298
AUL,AGSAULI,27.7057,78.4446
AUN,Aurang Nagar,29.0439,75.9745
AUNG,AUNG,26.1642,80.5445
AUR,ATRAULI ROAD,28.0972,78.2201
AUS,Anupshahr,28.9480,75.2112
AUWA,AUWA,25.6652,73.5646
AV,ASVALI,19.8174,73.7511
AVC,AMRAVATHI COLONY,14.4982,75.8541
AVD,AVADI,13.1182,80.1005
AVK,Aravankadu,11.3591,76.7692
AVL,AMRITVEL,21.0774,71.6797
AVLI,ARAVALLI,16.6205,81.5991
AVN,ANAVARDIKHANPET,13.0505,79.5674
AVP,Abhanpur Junction,21.0522,81.7449
AVRD,ARAVALI ROAD,17.3165,73.5382
AVS,Auvaneeswaram,9.0365,76.8528
AVT,Avati,13.2991,77.7267
AWG,Awa Garh,27.4642,78.4734
AWH,Alewahi,20.3879,79.7101
AWL,ALAWALPUR,31.4252,75.6422
AWM,Aswapuram,17.8213,80.8013
AWP,AGHWANPUR,28.9395,78.7029
AWPR,AWAPUR,26.5089,85.6529
AWR,ALWAR,27.5593,76.6213
AWS,ASWANI HALT,27.1596,84.0518
AWT,Alwar Tirunagri,8.6023,77.9418
AWY,ALUVA,10.1082,76.3565
AXA,AMARSAR,22.5860,70.9171
AXK,ASOKHAR,26.5255,78.5559
AXR,ALLURU ROAD,14.7105,79.9890
AY,AYODHYA,26.7878,82.2006
AYD,AYANDUR,11.9667,79.3408
AYI,Ayingudi,10.1980,79.0746
AYM,ADIYAKKAMANGALAM,10.7567,79.6806
AYN,AIYANAPURAM,10.7885,78.9290
AYR,AYYALUR,10.4834,78.1570
AYRN,AKSHAYWAT RAI NAGAR,25.6888,85.3154
AYU,ABHAYAPURI ASSAM,26.3566,90.6417
AYV,ARYANKAVU,8.4870,76.9527
AZK,AZHWARKURICHI(HALT),8.7876,77.3764
AZP,AYYAMPET,10.8963,79.2067
AZR,AZAMNAGAR ROAD,25.5556,87.8523
BAA,Barala,24.3005,88.0399
BAB,BABINA,25.2378,78.4517
BABR,BALANAGAR,16.9476,78.1889
BAD,BAAD,27.3959,77.6897
BADK,BARKA,29.0726,77.2733
BAE,BALIAKHERI,29.9285,77.6337
BAF,Bap,27.2882,72.3274
BAGA,Bhagega,27.6772,75.7209
BAGD,BAGWADA,20.4395,72.9169
BAGJ,Barharagani,26.9214,83.9196
BAGL,BARAGOPAL,25.7651,84.9068
BAH,BHABHAR,24.0653,71.6158
BAHI,Balenahalli,14.2503,76.5664
BAHL,Banihal,31.7653,77.3652
BAHN,BABHABGAON HALT,25.4483,87.8099
BAHP,Band Hamirpur,26.3298,80.7444
BAI,BASSI,26.8406,76.0472
BAJ,Bhalej,22.6330,73.0345
BAJE,Bajakare Halt,12.7205,75.5090
BAK,BHAN KARI,26.9625,76.4095
BAKA,Banka,24.8659,86.9117
BAKL,BAKAL,21.1236,80.9409
BAL,BUDALUR,10.7828,78.9814
BALI,Bhaili,22.2662,73.1320
BALR,BAITALPUR,26.5527,83.7386
BALU,BALUGAON,19.7474,85.2010
BAM,BRAHMAPUR,19.2961,84.7967
BAMA,BIRAMBAD,26.9228,77.3249
BAMR,BAMUR,21.0067,84.4759
BAND,BANASWADI,13.0057,77.6282
BANE,BASNI,26.2230,73.0106
BANI,BANI,26.2275,81.6209
BANO,BANO,22.6648,84.9030
BAO,BANMOR,26.3556,78.0989
BAP,BELAPUR,19.6196,74.6617
BAPN,BARAIPURA HALT,25.7394,86.1373
BAPR,BALLUPUR,27.5866,79.1451
BAQ,GANJ BASODA,23.8453,77.9448
BAR,BAR,26.0630,74.1132
BARA,BARA,23.2944,81.2868
BARD,DUVRI KALAN,23.9942,81.5080
BARH,BARH,25.4616,85.7094
BARI,Bari,26.6501,77.6182
BARJ,BHARATGARH,31.1105,76.5914
BARL,Baral,28.4941,77.8100
BARS,Barsana,27.4433,77.1503
BASA,Banosa,20.8787,77.3429
BASN,BHAINSWAN,29.0944,76.6808
BAT,Batala Junction,31.8215,75.1944
BATL,BAIHATOLA,23.2312,82.0586
BATM,Batala Sugar Mills,31.8569,75.2285
BAU,BURHANPUR,21.3344,76.1987
BAV,BARUVA,18.9007,84.5542
BAW,CHIK BANAVAR,13.0735,77.5063
BAWA,Balwara,25.5031,72.5545
BAWD,BHADWAD,21.3232,74.0983
BAY,BELLARY JN,15.1451,76.9220
BAZ,BARAN,25.0968,76.5051
BBA,BABRALA,28.2665,78.4034
BBAE,BAIDYABATI,22.7955,88.3320
BBAI,BHADBHUNJA,21.1663,73.6938
BBAR,BARA,24.0012,81.2119
BBC,Bhachhbar,25.7318,71.0444
BBD,BABLAD,17.3376,76.7793
BBDE,BABARPUR,29.4497,76.9662
BBE,BAGHI BARDIHA,24.9531,85.6233
BBGN,Barua Bamungaon,26.6622,93.9447
BBHT,Barabar Halt,25.0559,84.9744
BBJ,Babaganj,27.9643,81.5686
BBK,BARABANKI JN,26.9353,81.1810
BBKR,BABA BAKALARAYA,31.5418,75.2388
BBL,BALRAI,26.9205,78.8237
BBLK,B L DASPURI,27.3170,79.3635
BBM,BARABHUM,23.0913,86.2112
BBMN,BARI BRAHMAN,32.6390,74.9162
BBN,Barbil,22.1046,85.3691
BBO,BABUGARH,28.7474,77.8555
BBPM,BALABHADRAPURAM,16.9658,82.0004
BBPR,BABUPUR,27.3500,81.0703
BBQ,BASIN BRIDGE JN,13.1024,80.2712
BBS,BHUBANESWAR,20.2654,85.8426
BBSN,BHUBANESWAR NEW,20.3822,85.8352
BBTR,BARBATPUR,22.1970,77.9208
BBU,BHABUA ROAD,25.1730,83.6189
BBW,BODARWAR,26.8780,83.6382
BBY,BHADROLI,26.3059,78.1814
BC,BAREILLY CITY,28.3557,79.4037
BCA,BACHWARA JN,25.5813,85.9001
BCB,Bhowra Junction,23.6708,86.4170
BCD,BANSDIH ROAD,25.8116,84.2152
BCF,Bankapasi,23.5619,88.0494
BCGM,BAINCHIGRAM,23.1059,88.2163
BCH,BERCHHA,23.2825,76.3342
BCHL,Bacheli,18.7035,81.2385
BCHN,Bochasan Junction,22.4021,72.8477
BCHR,Bachar,22.0507,73.1204
BCHT,BARH COURT,25.0961,85.3131
BCK,BALICHAK,22.3582,87.5534
BCM,Buranpudi,25.9384,86.1969
BCN,BACHHRAWAN,26.4773,81.1055
BCO,BHAUCHAU,19.1848,72.8341
BCP,BICHPURI,27.1764,77.9143
BCQ,BARACHAK,23.7067,86.9281
BCRD,Barchi Road,21.9515,78.3116
BCT,Mumbai Central,18.9707,72.8194
BCU,BHUCHCHU,30.2099,75.0952
BCW,BHAWI,24.9299,74.6314
BCY,VARANASI CITY,25.3341,83.0141
BCYN,BUDHDEVCHAK Y NAGAR,25.4968,85.3313
BD,BADNERA JN,20.8568,77.7323
BDAG,BONIDANGA,24.8235,87.8105
BDBA,Badabandha Road,20.2767,86.5200
BDBG,Badhai Balamgarh Halt,30.4599,74.4602
BDBP,BASUDEBPUR,24.6355,87.9825
BDBS,BINDUBASINI HAL,24.7928,87.8593
BDC,BANDEL JN,22.9237,88.3794
BDCR,Bhadrachalam Road,17.5504,80.6160
BDDR,BADODAR,21.3611,70.2958
BDE,Bodeli,22.2702,73.7166
BDGM,BUDGAM,34.0387,74.7364
BDGP,BADANAGUPPE,11.9903,76.8612
BDH,BHEDIA,23.5866,87.7118
BDHA,BADHADA,21.2703,71.3374
BDHL,Badhal,27.2521,75.4516
BDHN,Bodhan,18.6459,77.8882
BDHP,BHUDPUR,29.2181,77.2912
BDHT,Bardi Halt,21.6212,78.8224
BDI,BHADLI,21.0237,75.6729
BDIN,BHADAIYAN,26.1711,82.1691
BDJ,VADAKARA,11.5933,75.5869
BDKE,Bhadsivni,20.5734,77.4393
BDKN,BANDHUA KALAN,26.2720,81.9954
BDKT,Badakhandita,20.3654,86.0838
BDL,VINDHYACHAL,25.1608,82.5020
BDM,BADAMI,15.9589,75.6767
BDMA,Budhma,25.9028,86.8570
BDME,Baidyanathdham Deoghar,24.4893,86.6921
BDMJ,BHODWAL MAJRI,29.1852,77.0082
BDN,BHADAN,26.9794,78.7375
BDNK,BODINAYAKKANUR,10.0098,77.3478
BDNP,BIDANPUR,25.5850,81.4420
BDO,Bahalda Road,21.8406,82.4962
BDPA,Badalpur Ph,21.7105,87.6162
BDPG,BADA PADAGAON,20.5706,85.8738
BDPK,BURHAPANKA,20.8532,85.2558
BDPL,BANDARUPALLE,16.3655,80.3628
BDPR,BRINDABANPUR,22.0448,88.0655
BDQ,BUDORA,23.7786,86.2354
BDRL,BYADARAHALLI,12.5020,76.7521
BDRN,Bhadran,22.4021,72.8477
BDSW,Budhsinghwala,29.8317,74.2227
BDT,BORDUBI ROAD,27.3992,95.3146
BDTS,MUMBAI BANDRA TERMINUS,19.0619,72.8405
BDU,BADNAPUR,19.8740,75.7225
BDUA,BASUDEOPUR CHANDAIL HALT,25.6487,85.5427
BDVL,BUDVEL,17.3094,78.4245
BDVR,Bodavara,18.1751,83.1125
BDVT,Bhadravati,13.8424,75.7028
BDW,BANDANWARA,26.1253,74.6914
BDWA,BADHWA BARA,23.2939,81.2864
BDWD,BODWAD,20.9036,76.0170
BDWL,BIRADHWAL,29.1741,73.8965
BDWS,BADARWAS,24.9833,77.5618
BDXT,BASAI DHANKOT,28.4647,76.9832
BDXX,Bade Arapur,19.0115,81.8379
BDY,BUDDIREDDIPPATI,12.0447,78.3128
BDYK,BINDAYAKA,26.9242,75.6596
BDZ,Badkulla,23.3047,88.5266
BE,BAREILLY,28.3372,79.4108
BEA,BIHIYA,25.5589,84.4490
BEAS,BEAS,31.5194,75.2908
BEB,Beldanga,23.9321,88.2430
BED,Baseri,26.7470,77.5430
BEDM,Bedham,27.4539,77.2095
BEE,Bebejia,26.3102,92.6410
BEF,BHUPDEOPUR,21.9750,83.2600
BEG,BEHTAGOKUL,27.5304,80.0549
BEH,BAGDIHI,21.9510,84.1863
BEHJ,Behj,27.4820,77.3966
BEHR,BEOHARI,24.0003,81.3797
BEHS,Bihar Sharif,25.2061,85.5391
BEHT,BIHAT HALT,25.4498,86.0335
BEJ,Beniganj,27.2999,80.4406
BEK,BUNDKI,29.5226,78.3933
BELA,Bela,24.9784,84.9814
BELD,BELKHERA,22.9819,79.2999
BELT,Bela Halt,25.0383,86.9983
BEM,Budaun,28.0275,79.1360
BEML,BEML Nagar,12.9786,78.2420
BENL,BENL,16.3844,75.8822
BEO,BIROHE,25.1738,82.4497
BEP,BHEERPUR,25.2650,81.9892
BEQ,BELUR,22.6359,88.3395
BER,BEAWAR,26.1089,74.3150
BERO,BERO,23.5483,86.7266
BET,BARETH,23.9149,77.9997
BETI,Bhetasi,22.4216,73.0322
BEW,BETAVAD,21.1492,74.8862
BEX,BELBONI,22.9868,87.8550
BEY,B CEMENT NAGAR,15.4863,78.1954
BFD,BORHAT,27.1643,95.2775
BFE,BAHAWAL BASI,30.1473,74.2793
BFF,Barabhati,20.8630,80.0608
BFG,Bagthar,26.7962,77.5222
BFJ,Bhoras Budrukh,20.5383,75.0143
BFM,BHALUI,25.0732,86.1729
BFP,BILOCHPURA AGRA,27.2026,77.9872
BFPA,Bhopatpur,28.3755,79.8051
BFQ,BENDI,23.7636,84.4170
BFR,BEKAL FORT,12.3855,75.0428
BFT,Bhabta,23.9870,88.2416
BFV,BAHELIA BUZURG,28.0469,80.5125
BFW,BYATRAYANHALLI,13.0020,77.9885
BFX,BAGHI GHAUSPUR,25.0520,85.6840
BFY,BHESANA,25.8244,73.7181
BFZ,BHANDARTIKURI,23.4332,88.3298
BG,BHONGIR,17.5247,78.8985
BGA,BAGALIA,23.4469,86.5190
BGAE,BALAGARH,23.1215,88.4526
BGAN,Bangain,27.2390,81.9059
BGAR,BANGARI,26.5381,84.9213
BGBR,BAGBAHRA,21.0463,82.3841
BGDI,Bagadia Ph,20.2790,86.5862
BGF,BAGILA,23.1601,88.1220
BGG,BANTA RAGHUNATHGARH,25.6018,73.5274
BGH,BAGHAULI,27.2281,80.2963
BGHI,BAGAHAI ROAD,24.5559,81.0187
